 num     #instances         #bytes  class name (module)
 183:             2            128  sun.nio.fs.WindowsFileAttributes (java.base@17)
 184:             4            128  sun.util.locale.provider.LocaleResources (java.base@17)
 185:             3            120  [Ljava.lang.invoke.LambdaForm$BasicType; (java.base@17)
 186:             3            120  java.lang.invoke.BoundMethodHandle$Species_LJ (java.base@17)
 187:             3            120  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle (java.base@17)
 188:             5            120  java.lang.module.ModuleDescriptor$Opens (java.base@17)
 189:             5            120  java.time.format.SignStyle (java.base@17)
 190:             5            120  java.util.Collections$SetFromMap (java.base@17)
 191:             5            120  java.util.stream.StreamOpFlag$Type (java.base@17)
 192:             3            120  sun.nio.fs.WindowsPath (java.base@17)
 193:             5            120  sun.nio.fs.WindowsPathType (java.base@17)
 194:             3            112  [Ljava.lang.Thread; (java.base@17)
 195:             7            112  [Ljava.security.Principal; (java.base@17)
 196:             1            112  [Ljava.time.LocalTime; (java.base@17)
 197:             2            112  java.io.FileCleanable (java.base@17)
 198:             2            112  java.nio.DirectIntBufferRU (java.base@17)
 199:             7            112  java.security.ProtectionDomain$Key (java.base@17)
 200:             2            112  java.util.jar.JarFile (java.base@17)
 201:             1            104  jdk.internal.loader.ClassLoaders$AppClassLoader (java.base@17)
 202:             1            104  jdk.internal.loader.ClassLoaders$BootClassLoader (java.base@17)
 203:             1            104  jdk.internal.loader.ClassLoaders$PlatformClassLoader (java.base@17)
 204:             1             96  [Lsun.util.locale.BaseLocale; (java.base@17)
 205:             3             96  java.io.File (java.base@17)
 206:             3             96  java.lang.Runtime$Version (java.base@17)
 207:             2             96  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@17)
 208:             3             96  java.lang.invoke.SimpleMethodHandle (java.base@17)
 209:             4             96  java.lang.module.ModuleDescriptor$Modifier (java.base@17)
 210:             4             96  java.lang.module.ModuleDescriptor$Requires$Modifier (java.base@17)
 211:             4             96  java.time.format.DateTimeFormatterBuilder$OffsetIdPrinterParser (java.base@17)
 212:             4             96  java.time.format.DateTimeFormatterBuilder$SettingsParser (java.base@17)
 213:             4             96  java.util.ArrayDeque (java.base@17)
 214:             4             96  java.util.regex.Pattern$CharPropertyGreedy (java.base@17)
 215:             4             96  java.util.regex.Pattern$Qtype (java.base@17)
 216:             4             96  java.util.stream.StreamShape (java.base@17)
 217:             1             96  jdk.internal.jimage.ImageReader$SharedImageReader (java.base@17)
 218:             2             96  jdk.internal.loader.URLClassPath$JarLoader (java.base@17)
 219:             3             96  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@17)
 220:             3             96  sun.net.spi.DefaultProxySelector$NonProxyInfo (java.base@17)
 221:             2             96  sun.nio.cs.StreamDecoder (java.base@17)
 222:             2             96  sun.nio.cs.StreamEncoder (java.base@17)
 223:             2             96  sun.nio.cs.UTF_8$Encoder (java.base@17)
