 num     #instances         #bytes  class name (module)
 184:             1             96  jdk.internal.jimage.ImageReader$SharedImageReader (java.base@17)
 185:             2             96  jdk.internal.loader.URLClassPath$JarLoader (java.base@17)
 186:             3             96  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@17)
 187:             3             96  sun.net.spi.DefaultProxySelector$NonProxyInfo (java.base@17)
 188:             2             96  sun.nio.cs.StreamDecoder (java.base@17)
 189:             2             96  sun.nio.cs.StreamEncoder (java.base@17)
 190:             2             96  sun.nio.cs.UTF_8$Encoder (java.base@17)
 191:             2             80  [Ljava.lang.OutOfMemoryError; (java.base@17)
 192:             1             80  [Ljava.nio.ByteBuffer; (java.base@17)
 193:             2             80  [Ljava.util.stream.StreamOpFlag$Type; (java.base@17)
 194:             2             80  java.io.BufferedWriter (java.base@17)
 195:             2             80  java.io.PrintStream (java.base@17)
 196:             2             80  java.lang.ModuleLayer (java.base@17)
 197:             2             80  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17)
 198:             2             80  java.lang.module.Configuration (java.base@17)
 199:             2             80  java.util.IdentityHashMap (java.base@17)
 200:             2             80  java.util.Locale$Category (java.base@17)
 201:             1             80  sun.nio.ch.NioSocketImpl (java.base@17)
 202:             1             80  sun.util.cldr.CLDRLocaleProviderAdapter (java.base@17)
 203:             1             80  sun.util.locale.provider.JRELocaleProviderAdapter (java.base@17)
 204:             3             72  [Ljava.security.ProtectionDomain; (java.base@17)
 205:             3             72  java.lang.NamedPackage (java.base@17)
 206:             3             72  java.lang.WeakPairMap (java.base@17)
 207:             3             72  java.net.Inet4Address (java.base@17)
 208:             3             72  java.net.Proxy$Type (java.base@17)
 209:             3             72  java.net.StandardProtocolFamily (java.base@17)
 210:             3             72  java.security.Permissions (java.base@17)
 211:             3             72  java.util.concurrent.atomic.AtomicLong (java.base@17)
 212:             1             72  java.util.regex.Matcher (java.base@17)
 213:             3             72  java.util.stream.Collector$Characteristics (java.base@17)
